Status,"Product code","Product user reference","Department code",Department,"Subdepartment code",Subdepartment,"Family code",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,TOLSP-01,,jewellery,Jewellery,sd-mix,"Sets & Mixed",TOLSP,"Tree of Life Silver Jewellery",5055796593736,,12.72,1,Pendent,12.72,"Tree of Life Silver Pendant 30mm - Coral Effect",30,0.005,0.005,"3.5x0.2x3.5 (cm)",Silver,"<p>The Tree of Life is a universal symbol found in many spiritual and mythological traditions around the world. It represents many things, including healing, protection, strength, bounty and beauty. A daringly different piece, quite unlike anything to be found on the high street</p><p>PENDANT ONLY - Chain not included.</p>","The Tree of Life is a universal symbol found in many spiritual and mythological traditions around the world. It represents many things, including healing, protection, strength, bounty and beauty. A daringly different piece, quite unlike anything to be found on the high streetPENDANT ONLY - Chain not included.",IDN,7113110000,2.5%,,Normal,"https://media.aiku.io/sAKvJ6Ja2rKDgJ9XYC5xI5Yxc86BEZf6Xf5wadTKTi0/bG9jYWw6Ly9tZWRpYS85Uy9FQy82MFIzMEMxRzZNUzNFQzlTL2RhMThkNTc2LmpwZWc, https://media.aiku.io/ea1JgY3aK79zUWrlobAvs-TwpemZSU2gbuoH7SObj4s/bG9jYWw6Ly9tZWRpYS9IRy9FQy82MFIzMEMxRzZNUzNFQ0hHLzM1NmZkNDBkLmpwZWc, https://media.aiku.io/r21mTTD_kGdps9mY3VqgaJBsCfPV5lo4wuU6EfJp4sM/bG9jYWw6Ly9tZWRpYS9ISC9FQy82MFIzMEMxRzZNUzNFQ0hIL2YxMGUzM2JlLmpwZWc, https://media.aiku.io/BnH7QCS5aGejb2e3VSPMy2pZpn7Pzo-hDWJ4X55tBr8/bG9jYWw6Ly9tZWRpYS9ISi9FQy82MFIzMEMxRzZNUzNFQ0hKL2FmZjQ1ZTRlLmpwZWc, https://media.aiku.io/YQD-3W0vPXudrUz891X38A1_gHRanYkfgiUPh9Z9JyE/bG9jYWw6Ly9tZWRpYS9ISy9FQy82MFIzMEMxRzZNUzNFQ0hLLzBiYjQ2YTA5LmpwZWc","2026-05-05 02:56:30+00","2025-11-10 10:01:16+00",,"2026-03-26 09:51:14+00",49
Discontinued,BNDL-11,,aromatherapy,Aromatherapy,,,bundles,"Product Bundles",,,19,1,kit,19,"Aromatherapy Set - 6 Essential Oils and Carved Box",40,0.332,0.572,,"Lavandula Angustifolia",,,IND,"3301294900, 3301291100, 4421999999",0.0%,,Discontinued,"https://media.aiku.io/VMhr9bbxbANuOJ0kB-BuynVfzc9WSRzr40LzJrfXoKY/bG9jYWw6Ly9tZWRpYS9IUC8wQy82MFIzMEMxRzZNV0swQ0hQL2IzOTJmZWQ3LmpwZWc, https://media.aiku.io/qIn2kfeWSItuKPkSDxGbTY8AKurqh5ieMG2AvcSYvuw/bG9jYWw6Ly9tZWRpYS8xUC9FRS82MFIzMEMxRzZDUzNFRTFQL2UzYWI1NjI5LmpwZWc, https://media.aiku.io/eoEwMUDVHTMqV1cX4n17NVQSUnOEOqrcU4qNQn7PPog/bG9jYWw6Ly9tZWRpYS8xUC82Qy82MFIzMEMxRzZNVDM2QzFQLzI4YmM1NDY0LmpwZWc, https://media.aiku.io/WuoVHqxq6ghEThKVDBYWTWnB7Q5Y_MnanVpotOstKtQ/bG9jYWw6Ly9tZWRpYS9IUS8wQy82MFIzMEMxRzZNV0swQ0hRLzNhZjZiYTQwLmpwZWc, https://media.aiku.io/e6KMO-oBVOHL2FfxnSbr8GTumbbom0nNrC9VYt_5IgA/bG9jYWw6Ly9tZWRpYS8xUS9FRS82MFIzMEMxRzZDUzNFRTFRLzJmZTAzZThiLmpwZWc, https://media.aiku.io/3FRyFCz9UQH8GzqxjsasQO004MnMcwJK9IY84S7wm8E/bG9jYWw6Ly9tZWRpYS85SC9FRS82MFIzMEMxRzZDUzNFRTlIL2NhZWI2MTA5LmpwZWc, https://media.aiku.io/ktoW04QwAhouaNblkpBxpKmvnzYOCzEO1mScNRX8v14/bG9jYWw6Ly9tZWRpYS85Sy9FRS82MFIzMEMxRzZDUzNFRTlLLzM1MDgwMGYxLmpwZWc, https://media.aiku.io/8EDPr171o9wSJbzeVjNcVh8Ogz9tIQe889xuvDmHcXM/bG9jYWw6Ly9tZWRpYS85TS9FRS82MFIzMEMxRzZDUzNFRTlNL2JlZWQyYzZiLmpwZWc, https://media.aiku.io/Y4obnhCNspJasVIfKoFKVFjl6rgR5kNmo6W0mR6VbZg/bG9jYWw6Ly9tZWRpYS85Ti9FRS82MFIzMEMxRzZDUzNFRTlOL2I0NmUxMzBiLmpwZWc","2026-04-09 08:52:44+00",,,"2026-03-26 09:45:07+00",0
Active,EO-08,,aromatherapy,Aromatherapy,sd-eo,"Essential Oils",EO,"10ml Essential Oils",5055796528455,,3.29,1,piece,3.29,"10 ml Geranium Essential Oil",6.25,0.04,0.04,,"Geranium (Egypt) Essential Oil","<p><strong>Latin Name : Pelargonium Graveolens.<br>Part Of Plant Used : Leaves, Stalks &amp; Flowers.<br>Source : Egypt.<br>Extraction Method : Steam Distillation.</strong></p><p>Geranium Essential Oil is steam distilled from the leaves and stalks of the plant Pelargonium odoratissimum (apple geranium). It has a strong smell with a floral aroma, and hints of mint and apple. The main feature of this oil is its ability to balance and uplift, and it is used to do both on the mind and body, to ease a host of ailments.&nbsp;</p><p>Geranium essential oil helps balance oily and dry skin, and also &nbsp; brings about balance of the mind, relieving stress and anxiety. It is said to work on the adrenal cortex, which has a balancing effect on the hormone system. Geranium oil has<br>been used to treat acne, bruises, burns, cuts, dermatitis, eczema, haemorrhoids, ringworm, ulcers, breast engorgement, oedema, poor circulation, sore throat, tonsillitis, PMS, menopausal problems, stress, and neuralgia. Its strong smell<br>chases away mosquitoes. Add a few drops to shampoo to get rid of head lice.</p><p>These geraniums were believed to keep away spirits (like they did mosquitoes!) and so they were planted around houses as hedges. The plants originated from South Africa, Reunion, Madagascar, Egypt, and Morocco and were introduced to European countries in the 17th century. Although there are about 700 varieties of the plant, only 10 supply essential oil in viable quantities. The varieties planted in gardens usually produce too little oil to use for extraction.</p>","Latin Name : Pelargonium Graveolens.Part Of Plant Used : Leaves, Stalks &amp; Flowers.Source : Egypt.Extraction Method : Steam Distillation.Geranium Essential Oil is steam distilled from the leaves and stalks of the plant Pelargonium odoratissimum (apple geranium). It has a strong smell with a floral aroma, and hints of mint and apple. The main feature of this oil is its ability to balance and uplift, and it is used to do both on the mind and body, to ease a host of ailments.&nbsp;Geranium essential oil helps balance oily and dry skin, and also &nbsp; brings about balance of the mind, relieving stress and anxiety. It is said to work on the adrenal cortex, which has a balancing effect on the hormone system. Geranium oil hasbeen used to treat acne, bruises, burns, cuts, dermatitis, eczema, haemorrhoids, ringworm, ulcers, breast engorgement, oedema, poor circulation, sore throat, tonsillitis, PMS, menopausal problems, stress, and neuralgia. Its strong smellchases away mosquitoes. Add a few drops to shampoo to get rid of head lice.These geraniums were believed to keep away spirits (like they did mosquitoes!) and so they were planted around houses as hedges. The plants originated from South Africa, Reunion, Madagascar, Egypt, and Morocco and were introduced to European countries in the 17th century. Although there are about 700 varieties of the plant, only 10 supply essential oil in viable quantities. The varieties planted in gardens usually produce too little oil to use for extraction.",EGY,3301294900,0.0%,,Normal,https://media.aiku.io/e2LsdVtWjW2Yo2uSifFFY0UKhxO0j0pkCOQo8ovLej4/bG9jYWw6Ly9tZWRpYS85TS8yQy82MFIzMEMxRzY0VksyQzlNL2ZmYjU1MjNmLmpwZWc,"2026-05-05 02:56:08+00","2025-12-09 07:16:23+00",,"2026-03-26 09:52:47+00",250
Active,TribalSi-01,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - White Copal",1.5,0.015,0.015,,"Tribal Soul Incense","<p>Copal originates from the Aztec Nahuatil word (Copalli) and refers to the variety of resins extracted from the trees of the &ldquo;Bursera&rdquo; family. Thousands of years ago, Copal was considered as a sacred resin by Mayans and Aztecs in Mexico and central America. The Mayans used to offer Copal to the Gods as one of the most valuable things, along with tobacco and cocoa. Copal is still used today in shamanic ceremonies for energetic protection, offering, cleansing and purification. It is an excellent incense to make positive changes. Copal has a rich sweet, piney smell that brings peace and harmony.</p>","Copal originates from the Aztec Nahuatil word (Copalli) and refers to the variety of resins extracted from the trees of the &ldquo;Bursera&rdquo; family. Thousands of years ago, Copal was considered as a sacred resin by Mayans and Aztecs in Mexico and central America. The Mayans used to offer Copal to the Gods as one of the most valuable things, along with tobacco and cocoa. Copal is still used today in shamanic ceremonies for energetic protection, offering, cleansing and purification. It is an excellent incense to make positive changes. Copal has a rich sweet, piney smell that brings peace and harmony.",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/Q6RBF_UWhhDR7-i0em4LplHQrv3i-4wO6891gcJUwq0/bG9jYWw6Ly9tZWRpYS9IRy8yRC82MFIzMEMxRzZSUjMyREhHL2U0YzQzYzM3LmpwZWc, https://media.aiku.io/H-9h_GsPHYyfRoka9XzW4Bqm9_rSkHtafN4BNOUN0i8/bG9jYWw6Ly9tZWRpYS85Uy8yRC82MFIzMEMxRzZSUjMyRDlTLzQ0N2ZmNThjLmpwZWc, https://media.aiku.io/aKZDQgKXqbosZjQ26JX_Y8uv9devk_A8nkTwBnE8pp4/bG9jYWw6Ly9tZWRpYS9ITi8yRC82MFIzMEMxRzZSUjMyREhOLzk4OTAyMGY1LmpwZWc, https://media.aiku.io/aSMiaCRYYSun-2-_qKOOgBFkr0LOHrB96S6RZ6s_sHw/bG9jYWw6Ly9tZWRpYS9IUC8yRC82MFIzMEMxRzZSUjMyREhQL2UyNzZmMDQyLmpwZWc, https://media.aiku.io/FM4hr1_Qwxd1q6DAU0HtyiE4tdhNsA8rXIJuIGyzD40/bG9jYWw6Ly9tZWRpYS9ISy8yRC82MFIzMEMxRzZSUjMyREhLLzM3ZTU3ZDc1LmpwZWc, https://media.aiku.io/FsJ1MImkN9nx_tJUKC0bdV8RZyVqaFSgbHKw6X9zbI4/bG9jYWw6Ly9tZWRpYS9ITS8yRC82MFIzMEMxRzZSUjMyREhNLzEwNmE3ZTlhLmpwZWc, https://media.aiku.io/Fh3FLNcheCo_-K0cxpMH4syCc3KZ8pcnqCczKjfygbs/bG9jYWw6Ly9tZWRpYS9ISi8yRC82MFIzMEMxRzZSUjMyREhKL2JiN2RmNGI3LmpwZWc, https://media.aiku.io/tcitqkHMdVDLdml4XQtlRGw0z2bDx2AxHgjbONNCH6M/bG9jYWw6Ly9tZWRpYS9ISC8yRC82MFIzMEMxRzZSUjMyREhILzFmNWNmNzEyLmpwZWc","2026-05-14 13:34:19+00","2026-05-14 13:34:19+00",,"2026-03-26 09:43:20+00",2033
Active,TribalSi-02,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - Palo Santo",1.5,0.015,0.015,,"Tribal Soul Incense","<p>Palo Santo (Bursera graveolens) means &ldquo;Holy Wood&rdquo; and is a wild tree that grows in the Amazon rainforest of Ecuador and Peru. It belongs to the same family as Copal, Myrrh and Frankincense. Its wood, leaves and oil have been used for thousands of years by indigenous Shamans to heal the body and soul, purify spaces, clear negative energies and to prepare for meditation. Palo Santo has a sweet, balsamic, and herbal scents, wonderfully calming and soothing, which carries a powerful energy of healing and purification.</p>","Palo Santo (Bursera graveolens) means &ldquo;Holy Wood&rdquo; and is a wild tree that grows in the Amazon rainforest of Ecuador and Peru. It belongs to the same family as Copal, Myrrh and Frankincense. Its wood, leaves and oil have been used for thousands of years by indigenous Shamans to heal the body and soul, purify spaces, clear negative energies and to prepare for meditation. Palo Santo has a sweet, balsamic, and herbal scents, wonderfully calming and soothing, which carries a powerful energy of healing and purification.",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/61PCQlf7xSaz-lR3Rq1SJLWrQ6kgt8LrC3Ie_zUImrY/bG9jYWw6Ly9tZWRpYS9IUS8yRC82MFIzMEMxRzZSUjMyREhRLzM3NDc2MjBmLmpwZWc, https://media.aiku.io/B1WsTexoXt6Nxz87PJLOKfLyvE5V_DqfadyUmEc5ex8/bG9jYWw6Ly9tZWRpYS9TSi8yRC82MFIzMEMxRzZSUjMyRFNKLzdkMzY1MDM3LmpwZWc, https://media.aiku.io/rnkwFmmvIUt4dGOnPDKywAUbzJvYDNnLLo0JrZpb8rE/bG9jYWw6Ly9tZWRpYS9TSy8yRC82MFIzMEMxRzZSUjMyRFNLL2I1ZTg1MWRiLmpwZWc, https://media.aiku.io/yynYN-5eoU-h6iOizbDwPJ2immXB5kIP_K2z58JLi8g/bG9jYWw6Ly9tZWRpYS9IUy8yRC82MFIzMEMxRzZSUjMyREhTLzRkYzVhOTI4LmpwZWc, https://media.aiku.io/jnOLbnB1UITZCT-89mNcmCHCBDNGO2g_V3W2Y9tz2ag/bG9jYWw6Ly9tZWRpYS9IUi8yRC82MFIzMEMxRzZSUjMyREhSLzRjMDJlMGQ2LmpwZWc, https://media.aiku.io/3_yvNhQgpPw5rlFNkAq17qW8aOy9mO4uFQdAkmso1RA/bG9jYWw6Ly9tZWRpYS9TRy8yRC82MFIzMEMxRzZSUjMyRFNHLzcwYWZlMzQxLmpwZWc, https://media.aiku.io/v3nG4DpsU7NxmJRwpPWkmbT8ErCeJ3WhQQ1ztoJSAaQ/bG9jYWw6Ly9tZWRpYS9TSC8yRC82MFIzMEMxRzZSUjMyRFNILzI1M2U5NDViLmpwZWc","2026-05-16 03:15:19+00","2026-05-15 10:23:20+00",,"2026-03-26 09:43:20+00",3039
Active,TribalSi-03,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - White Sage",1.5,0.015,0.015,,"Tribal Soul Incense","<p>White Sage (Salvia apina) is a plant from the mint family, used as incense. For centuries, the native Indians of North America have been initiating their purification ceremonies and healing sessions by burning its dry leaves bundled into smudge sticks. White Sage is considered sacred and is believed to cleanse that may be present. Its smoke is also used to being smudged. White sage has a highly aromatic as resinous scent that enables a greater capacity of concentration and a greater ease of relaxation. </p>","White Sage (Salvia apina) is a plant from the mint family, used as incense. For centuries, the native Indians of North America have been initiating their purification ceremonies and healing sessions by burning its dry leaves bundled into smudge sticks. White Sage is considered sacred and is believed to cleanse that may be present. Its smoke is also used to being smudged. White sage has a highly aromatic as resinous scent that enables a greater capacity of concentration and a greater ease of relaxation. ",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/pgK5LqAg1ghVbf48TACB-N680LA4kkxQta7xg-8GHQo/bG9jYWw6Ly9tZWRpYS9TTS8yRC82MFIzMEMxRzZSUjMyRFNNLzg1YzEyMDVmLmpwZWc, https://media.aiku.io/01zVujFUkQ6_g1sJmWqMkGmJ0F7pEF-FNzgSe2wHNg0/bG9jYWw6Ly9tZWRpYS8xSC8yRS82MFIzMEMxRzZSUjMyRTFIL2I1OWFhODM5LmpwZWc, https://media.aiku.io/rxctdT2Lm2z_nHwl4Gccxca2VlQzc4BERzOJCQmahmQ/bG9jYWw6Ly9tZWRpYS9TUS8yRC82MFIzMEMxRzZSUjMyRFNRL2YxMzM1NmY5LmpwZWc, https://media.aiku.io/90ftzfAeM_1lxYp_kt8Fz990ExIPqZoooxPDQM4lvCI/bG9jYWw6Ly9tZWRpYS9TTi8yRC82MFIzMEMxRzZSUjMyRFNOL2Q5ZDlhNWJmLmpwZWc, https://media.aiku.io/IeeCiXzpo-xRHCvBJUsR8nW5t1nl43MEVdfQSJCFb8E/bG9jYWw6Ly9tZWRpYS8xRy8yRS82MFIzMEMxRzZSUjMyRTFHL2YyYTFlMjM2LmpwZWc, https://media.aiku.io/f-hOvdzCzUGqvKsDaMxWlLQj2G585h5UGrI0nENxaJU/bG9jYWw6Ly9tZWRpYS9TUC8yRC82MFIzMEMxRzZSUjMyRFNQLzBmOTliZWI1LmpwZWc, https://media.aiku.io/nobT1eseoDLkp98CqquG_96AL9aLpSjkZrW3WPdxMgs/bG9jYWw6Ly9tZWRpYS9TUi8yRC82MFIzMEMxRzZSUjMyRFNSLzgxYTU1ODdkLmpwZWc, https://media.aiku.io/zdkQwy0naNMCyh_v6nlVSjoUMJnC_95vQTaNcC0G_bY/bG9jYWw6Ly9tZWRpYS9TUy8yRC82MFIzMEMxRzZSUjMyRFNTLzgzY2UzYjhmLmpwZWc","2026-05-16 03:15:19+00","2026-05-12 10:56:18+00",,"2026-03-26 09:43:20+00",3263
Active,TribalSi-04,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - Myrrh",1.5,0.015,0.015,,"Tribal Soul Incense","<p>Myrrh is a natural resin extracted from the Commiphora tree. It has been used throughout history as a perfume, incense and medicine. It is also mentioned in many ancient texts, including the Bible and Torah, for its ability to connect to the Divine. Myrrh is in protection rituals. It is also well known for its purifying properties, for cleansing the soul and clearing the mind. Myrrh rein has a warm, spicy, balsamic scent which favours meditation and spiritual upliftment. </p>","Myrrh is a natural resin extracted from the Commiphora tree. It has been used throughout history as a perfume, incense and medicine. It is also mentioned in many ancient texts, including the Bible and Torah, for its ability to connect to the Divine. Myrrh is in protection rituals. It is also well known for its purifying properties, for cleansing the soul and clearing the mind. Myrrh rein has a warm, spicy, balsamic scent which favours meditation and spiritual upliftment. ",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/F6MjSnk1MpHRJVpAbp9b8LUmljdzWpWLvqzNADRDguc/bG9jYWw6Ly9tZWRpYS8xSi8yRS82MFIzMEMxRzZSUjMyRTFKL2M1Yjk3MGQxLmpwZWc, https://media.aiku.io/W2XJ5MYjIzMmV1KO0d-o85hTKRLz3DHPw9I-vOq2Ax0/bG9jYWw6Ly9tZWRpYS8xUi8yRS82MFIzMEMxRzZSUjMyRTFSL2FlNjhmYzkwLmpwZWc, https://media.aiku.io/Y30lfmgRDuCPDtt6NEhkA8tBWj_RQViGfJSu2FCPBe8/bG9jYWw6Ly9tZWRpYS8xUy8yRS82MFIzMEMxRzZSUjMyRTFTL2VjYTZkZWJjLmpwZWc, https://media.aiku.io/BJf_oFOiQjgu2hMSPqiOsDuiLMC8IUN-5cBVmV1bRJU/bG9jYWw6Ly9tZWRpYS8xTS8yRS82MFIzMEMxRzZSUjMyRTFNL2E4M2RmMjc3LmpwZWc, https://media.aiku.io/dXiP0AZxnD60yOKX1Y8MOi8FiBjzS2kS9HfQo2g2mPs/bG9jYWw6Ly9tZWRpYS8xTi8yRS82MFIzMEMxRzZSUjMyRTFOL2U0M2MxNGNlLmpwZWc, https://media.aiku.io/m1SiU_d1epsEHNB-wN9fWlcmffrcV616PJ0e9VU7_2U/bG9jYWw6Ly9tZWRpYS8xSy8yRS82MFIzMEMxRzZSUjMyRTFLLzY2Yzc2YTc0LmpwZWc, https://media.aiku.io/bcqwPPG78NLxzDN0c1humL_6Mlwc6OJQ7Jw1BZplf9A/bG9jYWw6Ly9tZWRpYS8xUC8yRS82MFIzMEMxRzZSUjMyRTFQLzI0ODY4OTFiLmpwZWc, https://media.aiku.io/maxgG7QEr9DOoHIm5zn3cFGSt9FIb2iP4H_9oex5yGQ/bG9jYWw6Ly9tZWRpYS8xUS8yRS82MFIzMEMxRzZSUjMyRTFRL2M2ZGM4MjhmLmpwZWc","2026-05-09 02:44:13+00","2026-05-09 02:44:13+00",,"2026-03-26 09:43:20+00",2323
Active,TribalSi-05,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - White Sage + Lavender",1.5,0.015,0.015,,"Tribal Soul Incense","<p>White Sage (Salvia apina) has been considered sacred by Native Americans for thousands of years and has been used to drive away bad energy, cleanse and purify persons and places thorough the technique of smudging. Lavender, well known for its medicinal qualities as well as its powers of protection and cleansing, symbolizes purity and cleanliness. </p>","White Sage (Salvia apina) has been considered sacred by Native Americans for thousands of years and has been used to drive away bad energy, cleanse and purify persons and places thorough the technique of smudging. Lavender, well known for its medicinal qualities as well as its powers of protection and cleansing, symbolizes purity and cleanliness. ",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/UqNw4YageCPlaL7p8rvqr04e4BexgzrVJhHn8bIwD6A/bG9jYWw6Ly9tZWRpYS85Ry8yRS82MFIzMEMxRzZSUjMyRTlHLzM1ODMxYjRmLmpwZWc, https://media.aiku.io/bvma6tDLwkpCXqfAuk27miqvDSCYhScIaEFAM21kU-E/bG9jYWw6Ly9tZWRpYS85TS8yRS82MFIzMEMxRzZSUjMyRTlNL2RmZjA4ODYyLmpwZWc, https://media.aiku.io/iuGojQK1Ui0uaxZ38OqyzGvDLqNMo1ui799xr0Xidss/bG9jYWw6Ly9tZWRpYS85Ti8yRS82MFIzMEMxRzZSUjMyRTlOLzM2ZjA0MzYwLmpwZWc, https://media.aiku.io/sy69u05-paF3wFDSvk6-BwE10x5gyXBf2eeUKOx0wg0/bG9jYWw6Ly9tZWRpYS85Si8yRS82MFIzMEMxRzZSUjMyRTlKLzY4Mjc5MDZjLmpwZWc, https://media.aiku.io/_-PsubnorcunaUMQMlwgryqzuk6MyQUeOrFnvodunhw/bG9jYWw6Ly9tZWRpYS85Sy8yRS82MFIzMEMxRzZSUjMyRTlLL2IwNzQ3Y2JhLmpwZWc, https://media.aiku.io/gnCIbySORUerXvUFdd9I1DzfABG0ONf9JIKvFu6p6OI/bG9jYWw6Ly9tZWRpYS85SC8yRS82MFIzMEMxRzZSUjMyRTlIL2FjYmIxYjViLmpwZWc","2026-05-13 02:45:36+00","2026-05-13 02:45:36+00",,"2026-03-26 09:43:20+00",4189
Active,TribalSi-06,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - White Sage + Palo Santo",1.5,0.015,0.015,,"Tribal Soul Incense","<p>White Sage (Salvia apina) has been considered a sacred, purifying plant. Native Americans started the tradition of burning its dry bundled leaves, during &nbsp;their purification ceremonies and healing sessions, to cleanse a space or person of and &nbsp;healing sessions, to cleanse a space or a person of all evil spirits or negative energies all evil spirits or negative energies. </p>","White Sage (Salvia apina) has been considered a sacred, purifying plant. Native Americans started the tradition of burning its dry bundled leaves, during &nbsp;their purification ceremonies and healing sessions, to cleanse a space or person of and &nbsp;healing sessions, to cleanse a space or a person of all evil spirits or negative energies all evil spirits or negative energies. ",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/EyzfVK-W1vjHMOHSjOYllBfdM97ULCfMw5OHmdm2gwk/bG9jYWw6Ly9tZWRpYS85UC8yRS82MFIzMEMxRzZSUjMyRTlQLzM4MWY4N2FhLmpwZWc, https://media.aiku.io/F4PetRN82wnGM40nyffjBuXY8ug7lHFHONY0HUc9_5Y/bG9jYWw6Ly9tZWRpYS8xSC80Qy82MFIzMEMxRzZSUjM0QzFILzg0M2JlYTdkLmpwZWc, https://media.aiku.io/mEVv2HrlNuI7nG_fJe2nOvhV3XmRYjX6620MtSHg0ps/bG9jYWw6Ly9tZWRpYS8xSi80Qy82MFIzMEMxRzZSUjM0QzFKLzcyY2YzMGRkLmpwZWc, https://media.aiku.io/1AKlVSE0JfPQcMOxdBDTV93Yg3s5RkfMPzOFzMqhDu8/bG9jYWw6Ly9tZWRpYS85US8yRS82MFIzMEMxRzZSUjMyRTlRLzdiZTg2Mzk4LmpwZWc, https://media.aiku.io/3n1BM7hAC3Ub2rB0UtAnzQvE35qhroyQ98L257F30QM/bG9jYWw6Ly9tZWRpYS85Ui8yRS82MFIzMEMxRzZSUjMyRTlSLzZjMzVmNzE5LmpwZWc, https://media.aiku.io/ICz46s8UF5U5LHfYAjrtkuCGl5aSZoX6PY3jrT_j8FY/bG9jYWw6Ly9tZWRpYS85Uy8yRS82MFIzMEMxRzZSUjMyRTlTL2RiNDQxNzAyLmpwZWc, https://media.aiku.io/c_EXKZdQHnyHFyoXhOImvlzNskIkXmLfTexVa9zOrcg/bG9jYWw6Ly9tZWRpYS8xRy80Qy82MFIzMEMxRzZSUjM0QzFHLzYxZTA4YWRiLmpwZWc","2026-05-15 10:23:14+00","2026-05-15 10:23:14+00",,"2026-03-26 09:43:20+00",4286
Active,TribalSi-07,,incense,"Incense and Burners",sd-iss,"Incense Smudge Sticks",TribalSi,"Tribal Soul Incense",,,0.74,1,Pack,0.74,"Tribal Soul Incense Sticks - Palo Santo + Pinon Pine",1.5,0.015,0.015,,"Tribal Soul Incense","<p>Palo Santo (Bursera graveolens ) which means &ldquo;Holy Wood&rdquo; in Spanish, is a mystical tree that grows in the Amazon rainforests. Its wood, leaves and oil have been used for thousands of years by indigenous Shamans to heat the body and soul, purify spaces, clear negative energies and to prepare for meditation. Pi&ntilde;on Pine Resin is a favourite in the Native American and Wiccan traditions. This resin from Southwest of United States in burned for healing, balancing and clearing one&rsquo;s aura and energy field. </p>","Palo Santo (Bursera graveolens ) which means &ldquo;Holy Wood&rdquo; in Spanish, is a mystical tree that grows in the Amazon rainforests. Its wood, leaves and oil have been used for thousands of years by indigenous Shamans to heat the body and soul, purify spaces, clear negative energies and to prepare for meditation. Pi&ntilde;on Pine Resin is a favourite in the Native American and Wiccan traditions. This resin from Southwest of United States in burned for healing, balancing and clearing one&rsquo;s aura and energy field. ",IND,3307410000,6.5%,,Normal,"https://media.aiku.io/5fgwOSD6NZgL5EYFmmMk8thNb8TrkO88IaVsiNfYkR8/bG9jYWw6Ly9tZWRpYS8xSy80Qy82MFIzMEMxRzZSUjM0QzFLLzIwOTU1OWNhLmpwZWc, https://media.aiku.io/36JSCIly91lJfnRsgABPhCQVrWA4f9n06Bnx18vrdwY/bG9jYWw6Ly9tZWRpYS8xUi80Qy82MFIzMEMxRzZSUjM0QzFSLzllMmE3YmQ0LmpwZWc, https://media.aiku.io/-yrkB4ZpYb7ZmKiJaiGpfvXQCH9V6rw0jSSn47QqmLM/bG9jYWw6Ly9tZWRpYS8xUy80Qy82MFIzMEMxRzZSUjM0QzFTLzIyOTQ3YWY3LmpwZWc, https://media.aiku.io/tVUofgcfF0x3oWv0HWvNY3GiX8tzq4ER5uYPthXVU2k/bG9jYWw6Ly9tZWRpYS8xTS80Qy82MFIzMEMxRzZSUjM0QzFNL2NhYjZiNDdhLmpwZWc, https://media.aiku.io/5lFF6buTdp9tfb_iI9zf9KnLpv-xLbOS9e71UUAsPeI/bG9jYWw6Ly9tZWRpYS8xTi80Qy82MFIzMEMxRzZSUjM0QzFOLzc0Y2RmNzA5LmpwZWc, https://media.aiku.io/QBUJiYM6kKXIq2PtUyzBM4VZbRZ6nztkwBjlpwKWD1Q/bG9jYWw6Ly9tZWRpYS8xUS80Qy82MFIzMEMxRzZSUjM0QzFRLzIyOTI0NzMwLmpwZWc, https://media.aiku.io/h9ML1UuX0iNwLJemJJqdCUGnr13BPr3eOwmbGOIr_rA/bG9jYWw6Ly9tZWRpYS8xUC80Qy82MFIzMEMxRzZSUjM0QzFQLzg3NzkwNmJmLmpwZWc","2026-05-12 02:44:36+00","2026-05-12 02:44:36+00",,"2026-03-26 09:43:20+00",2151
